         22117845 function calls (22082351 primitive calls) in 663.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   153396    0.033    0.000    0.033    0.000 {method 'append' of 'list' objects}
   116251    0.033    0.000    0.033    0.000 {method 'replace' of 'str' objects}
        2    0.032    0.016    0.193    0.096 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:244(process_soln_file)
     2647    0.031    0.000    0.493    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:981(_read1)
     1426    0.031    0.000    0.076    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1527(__init__)
     1836    0.031    0.000    2.125    0.001 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:59(<listcomp>)
   110334    0.030    0.000    0.030    0.000 {method 'pop' of 'list' objects}
     6928    0.030    0.000    0.071    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\opendocument.py:176(build_caches)
    63767    0.028    0.000    0.028    0.000 {built-in method builtins.hasattr}
     1584    0.028    0.000    0.028    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\xmlns.py:14(subelement)
    10788    0.027    0.000    0.054    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\xml\functions.py:75(localname)
       62    0.027    0.000   10.929    0.176 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\reader\excel.py:203(read_worksheets)
     2523    0.026    0.000    0.056    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:789(__init__)
    49351    0.026    0.000    0.026    0.000 {method 'split' of 'str' objects}
    10102    0.025    0.000    0.100    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:495(setAttrNS)
    59733    0.024    0.000    0.024    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\base.py:20(__init__)
     9321    0.024    0.000    0.024    0.000 {method 'tell' of '_io.BufferedReader' objects}
